mode,file_size,average_time
CP1,4500,97.082611
CP1,9000,192.458417
CP1,22500,399.613301667
CP1,45000,760.138737
CP1,225000,3378.619269
CP1,450000,6692.10122
CP1,2250000,35964.6382313
CP1,4500000,73152.80803
CP2,4500,3.20673066667
CP2,9000,2.73435566667
CP2,22500,3.82991866667
CP2,45000,3.18732333333
CP2,225000,7.475736
CP2,450000,10.8937096667
CP2,2250000,43.259209
CP2,4500000,67.0564133333
